nlpNodeId,linkReference,nlpReference,nlpLinkVersion
NLPL0000137,ACMSP40,NMUuM4.5,1
NLPL0000138,ACMSP39,NMUuM5.1,1
NLPL0000139,ACMSP38,NMUuM5.2,1
NLPL0000140,ACMSP37,NMUuM5.3,1
NLPL0000141,ACMSP36,NMUuM5.4,1
NLPL0000142,ACMSP35,NMUuM5.5,1
NLPL0000143,ACMSP34,NMUuM6.1,1
NLPL0000144,ACMSP33,NMUuM6.2,1
NLPL0000145,ACMSP32,NMUuM6.3,1
NLPL0000146,ACMSP31,NMUuM6.4,1
NLPL0000147,ACMSP30,NMUuM7.1,1
NLPL0000148,ACMSP29,NMUuM7.2,1
NLPL0000149,ACMSP28,NMUuM7.3,1
NLPL0000150,ACMSP27,NMUuM8.1,1
NLPL0000151,ACMSP26,NMUuM8.2,1
NLPL0000152,ACMSP25,NMUuM8.3,1
NLPL0000153,ACMSP24,NMUuM8.4,1
NLPL0000154,ACMSP23,NMUuM9.1,1
NLPL0000155,ACMSP22,NMUuM9.2,1
NLPL0000156,ACMSP21,NMUuM9.3,1
NLPL0000157,ACMSP20,NMUuM9.4,1
NLPL0000158,ACMSP19,NMUuM9.5,1
NLPL0000159,ACMSP18,NNAdS1.1,1
NLPL0000160,ACMSP17,NNAdS1.2,1
NLPL0000161,ACMSP16,NNAdS10.1,1
NLPL0000162,ACMSP15,NNAdS10.2,1
NLPL0000163,ACMSP14,NNAdS10.3,1
NLPL0000164,ACMSP13,NNAdS2.1,1
NLPL0000165,ACMSP12,NNAdS2.2,1
NLPL0000166,ACMSP11,NNAdS2.3,1
NLPL0000167,ACMSP10,NNAdS2.4,1
NLPL0000168,ACMSP9,NNAdS3.1,1
NLPL0000169,ACMSP8,NNAdS4.1,1
NLPL0000170,ACMSP7,NNAdS4.2,1
NLPL0000171,ACMSP6,NNAdS5.1,1
NLPL0000172,ACMSP5,NNAdS6.1,1
NLPL0000173,ACMSP4,NNAdS6.2,1
NLPL0000174,ACMSP3,NNAdS6.3,1
NLPL0000175,ACMSP2,NNAdS6.4,1
NLPL0000176,ACMSP1,NNAdS7.1,1
NLPL0000177,ACMSP0,NNAdS7.2,1
NLPL0000178,ACMSP250,NNAdS7.3,1
NLPL0000179,ACMSP249,NNAdS7.5,1
NLPL0000180,ACMSP248,NNAdS7.6,1
NLPL0000181,ACMSP247,NNAdS8.1,1
NLPL0000182,ACMSP246,NNAdS8.2,1
NLPL0000183,ACMSP245,NNAdS8.3,1
NLPL0000184,ACMSP244,NNADS8.4,1
NLPL0000185,ACMSP243,NNAdS9.1,1
NLPL0000186,ACMSP242,NNAdS9.2,1
NLPL0000187,ACMSP241,NNAdS9.3,1
NLPL0000188,ACMSP240,NNCPr1.1,1
NLPL0000189,ACMSP239,NNCPr1.2,1
NLPL0000190,ACMSP238,NNCPr2.1,1
NLPL0000191,ACMSP237,NNCPr2.2,1
NLPL0000192,ACMSP236,NNCPr2.3,1
NLPL0000193,ACMSP235,NNCPr2.4,1
NLPL0000194,ACMSP234,NNCPr3.1,1
NLPL0000195,ACMSP233,NNCPr3.2,1
NLPL0000196,ACMSP232,NNCPr3.3,1
NLPL0000197,ACMSP231,NNCPr4.1,1
NLPL0000198,ACMSP230,NNCPr4.2,1
NLPL0000199,ACMSP229,NNCPr4.3,1
NLPL0000200,ACMSP228,NNCPr4.4,1
NLPL0000201,ACMSP227,NNCPr5.1,1
NLPL0000202,ACMSP226,NNCPr5.2,1
NLPL0000203,ACMSP225,NNCPr5.3,1
NLPL0000204,ACMSP224,NNCPr5.4,1
NLPL0000205,ACMSP223,NNCPr6.1,1
NLPL0000206,ACMSP222,NNCPr6.2,1
NLPL0000207,ACMSP221,NNCPr6.3,1
NLPL0000208,ACMSP220,NNCPr6.4,1
NLPL0000209,ACMSP219,NNCPr7.1,1
NLPL0000210,ACMSP218,NNCPr7.2,1
NLPL0000211,ACMSP217,NNCPr7.3,1
NLPL0000212,ACMSP216,NNCPr8.1,1
NLPL0000213,ACMSP215,NNCPr8.2,1
NLPL0000214,ACMSP214,NNCPr8.3,1
NLPL0000215,ACMSP213,NNCPr8.4,1
NLPL0000216,ACMSP212,NNInF1.1,1
NLPL0000217,ACMSP211,NNInF1.2,1
NLPL0000218,ACMSP210,NNInF1.3,1
NLPL0000219,ACMSP209,NNInF2.1,1
NLPL0000220,ACMSP208,NNInF2.2,1
NLPL0000221,ACMSP207,NNInF2.3,1
NLPL0000222,ACMSP206,NNInF3.1,1
NLPL0000223,ACMSP205,NNInF3.2,1
NLPL0000224,ACMSP204,NNInF3.3,1
NLPL0000225,ACMSP203,NNInF3.4,1
NLPL0000226,ACMSP202,NNInF4.1,1
NLPL0000227,ACMSP201,NNInF4.2,1
NLPL0000228,ACMSP200,NNInF4.3,1
NLPL0000229,ACMSP199,NNInF4.4,1
NLPL0000230,ACMSP198,NNInF5.1,1
NLPL0000231,ACMSP197,NNInF5.2,1
NLPL0000232,ACMSP196,NNInF5.3,1
NLPL0000233,ACMSP195,NNInF5.4,1
NLPL0000234,ACMSP194,NNInF6.1,1
NLPL0000235,ACMSP193,NNInF6.2,1
NLPL0000236,ACMSP192,NNInF6.3,1
NLPL0000237,ACMSP191,NNInF7.1,1
NLPL0000238,ACMSP190,NNInF7.2,1
NLPL0000239,ACMSP189,NNInF7.3,1
NLPL0000240,ACMSP188,NNInF8.1,1
NLPL0000241,ACMSP187,NNInF8.2,1
NLPL0000242,ACMSP186,NNInF8.3,1
NLPL0000243,ACMSP185,NNInF8.4,1
NLPL0000244,ACMSP184,NNInF8.5,1
NLPL0000245,ACMSP183,NNInF9.1,1
NLPL0000246,ACMSP182,NNMuS1.1,1
NLPL0000247,ACMSP181,NNMuS1.2,1
NLPL0000248,ACMSP180,NNMuS10.1,1
NLPL0000249,ACMSP179,NNMuS10.2,1
NLPL0000250,ACMSP178,NNMuS10.3,1
NLPL0000251,ACMSP177,NNMuS10.4,1
NLPL0000252,ACMSP176,NNMuS2.1,1
NLPL0000253,ACMSP175,NNMuS2.2,1
NLPL0000254,ACMSP174,NNMuS3.1,1
NLPL0000255,ACMSP173,NNMuS4.1,1
NLPL0000256,ACMSP172,NNMuS4.2,1
NLPL0000257,ACMSP171,NNMuS5.1,1
NLPL0000258,ACMSP170,NNMuS5.2,1
NLPL0000259,ACMSP169,NNMuS5.3,1
NLPL0000260,ACMSP168,NNMuS6.1,1
NLPL0000261,ACMSP167,NNMuS6.2,1
NLPL0000262,ACMSP166,NNMuS6.3,1
NLPL0000263,ACMSP165,NNMuS6.4,1
NLPL0000264,ACMSP164,NNMuS6.5,1
NLPL0000265,ACMSP163,NNMuS6.6,1
NLPL0000266,ACMSP162,NNMuS7.1,1
NLPL0000267,ACMSP161,NNMuS7.2,1
NLPL0000268,ACMSP160,NNMuS7.3,1
NLPL0000269,ACMSP159,NNMuS8.1,1
NLPL0000270,ACMSP158,NNMuS8.2,1
NLPL0000271,ACMSP157,NNMuS9.1,1
NLPL0000272,ACMSP156,NNMuS9.2,1
NLPL0000273,ACMSP155,NNMuS9.3,1
NLPL0000274,ACMSP154,NNMuS9.4,1
NLPL0000275,ACMSP153,NNMuS9.5,1
NLPL0000276,ACMSP152,NNMuS9.6,1
NLPL0000277,ACMSP151,NNMuS9.7,1
NLPL0000278,ACMSP150,NNNPA1.1,1
NLPL0000279,ACMSP149,NNNPA1.2,1
NLPL0000280,ACMSP148,NNNPA1.3,1
NLPL0000281,ACMSP147,NNNPA1.4,1
NLPL0000282,ACMSP146,NNNPA2.1,1
NLPL0000283,ACMSP145,NNNPA2.2,1
NLPL0000284,ACMSP144,NNNPA2.3,1
NLPL0000285,ACMSP143,NNNPA2.4,1
NLPL0000286,ACMSP142,NNNPA2.5,1
NLPL0000287,ACMSP141,NNNPA3.3,1
NLPL0000288,ACMSP140,NNNPA3.4,1
NLPL0000289,ACMSP139,NNNPA4.1,1
NLPL0000290,ACMSP138,NNNPA4.2,1
NLPL0000291,ACMSP137,NNNPA4.3,1
NLPL0000292,ACMSP136,NNNPA4.4,1
NLPL0000293,ACMSP135,NNNPA4.5,1
NLPL0000294,ACMSP134,NNNPA5.1,1
NLPL0000295,ACMSP133,NNNPA5.2,1
NLPL0000296,ACMSP132,NNNPA5.3,1
NLPL0000297,ACMSP131,NNNPA5.4,1
NLPL0000298,ACMSP130,NNNPA5.5,1
NLPL0000299,ACMSP129,NNNPA5.6,1
NLPL0000300,ACMSP128,NNNPA5.7,1
NLPL0000301,ACMSP127,NNNPA6.1,1
NLPL0000302,ACMSP126,NNNPA6.2,1
NLPL0000303,ACMSP125,NNNPA6.3,1
NLPL0000304,ACMSP124,NNNPA7.1,1
NLPL0000305,ACMSP123,NNNPA7.2,1
NLPL0000306,ACMSP122,NNNPA7.3,1
NLPL0000307,ACMSP121,NNNPA8.1,1
NLPL0000308,ACMSP120,NNNPA8.2,1
NLPL0000309,ACMSP119,NNNPA9.1,1
NLPL0000310,ACMSP118,NNNPA9.2,1
NLPL0000311,ACMSP117,NNNPV1.1,1
NLPL0000312,ACMSP116,NNNPV1.2,1
NLPL0000313,ACMSP115,NNNPV1.3,1
NLPL0000314,ACMSP114,NNNPV1.4,1
NLPL0000315,ACMSP113,NNNPV10.1,1
NLPL0000316,ACMSP112,NNNPV10.2,1
NLPL0000317,ACMSP111,NNNPV10.3,1
NLPL0000318,ACMSP110,NNNPV10.4,1
NLPL0000319,ACMSP109,NNNPV2.1,1
NLPL0000320,ACMSP108,NNNPV2.2,1
